# Карта корпуса в машинном виде: кадр → ожидаемое действие → почему кадр вне счёта (#262).
#
# Та же карта, что прозой в docs/CORPUS.md («Карта кадров»), но пригодная для счёта: по ней
# `tools/corpus-score.sh` собирает CorpusCase на каждый кадр и зовёт scoreCorpus. Проза нужна
# человеку, таблица — счёту; расходиться им нельзя, поэтому правятся они вместе.
#
# Второе поле — ActionSchema.id там, где схема есть, и человеческое имя действия там, где её
# нет. Второе не заглушка: такой кадр уходит в `unscored` и называется поимённо, вместо того
# чтобы тихо выпасть из знаменателя. Появится схема — здесь встанет её id, и знаменатель
# вырастет сам.
#
# Третье поле — ПРИЧИНА, по которой кадр стоит вне счёта; оно есть ровно у кадров без схемы:
#   таблица     — меряется другим числом: по самой таблице, которую получил человек (scoreTable);
#   отказ       — схемы не будет, решение записано (docs/DECISIONS.md, рядом с ACTION_SCHEMAS);
#   ждёт схемы  — схемы ещё нет, это законное «пока».
# Без причины кадр вне счёта отчёт назовёт выпавшим молча: «решили не мерить» и «не дошли руки»
# — разные новости, и одинаковое «пока» на них обещало человеку работу, которой не будет.
#
# Значений кадров тут нет и быть не может: только номер и намерение (правило корпуса).
#
# кадр	ожидаемое действие	почему вне счёта
01	извлечь таблицу	таблица
02	pay-by-requisites
03	pay-by-requisites
04	извлечь таблицу	таблица
05	reply
06	извлечь таблицу	таблица
07	reply
08	forward-receipt
09	meter-reading
10	извлечь таблицу	таблица
11	track-parcel
12	route
13	track-parcel
14	route
15	meter-reading
16	собрать список в текст	отказ
17	meter-reading
18	извлечь таблицу	таблица
19	извлечь таблицу	таблица
20	forward-receipt
21	найти и забрать нужный отчёт	отказ
22	route
23	извлечь таблицу	таблица
